sampleID	hyenaID	matriline	DOB	age_yrs	reproductive_state	social_rank	standardized_social_rank	sample_date	sample_year	prey_abundance	alpha-diversity?	beta-diversity?	metagenomes?
P236	D3	3	7-Nov-92	4.75	lactating	15	0.00	5-Sep-97	1997	139.75	Yes	Yes	No
P237	G1	1	20-Mar-01	11.67	other	17	0.37	2-Dec-12	2012	245.83	Yes	Yes	No
P238	M3	3	1-Feb-85	9.83	lactating	7	0.47	5-Dec-94	1994	161.75	Yes	Yes	No
P239	D1	1	25-Jun-96	7.58	other	1	1.00	1-Feb-04	2004	36.25	Yes	Yes	No
P24	D2	2	28-Jun-03	13	lactating	NA	NA	3-Jul-16	2016	257.40	Yes	Yes	No
P240	D3	3	7-Nov-92	7.92	lactating	10	-0.20	21-Oct-00	2000	66.75	Yes	Yes	No
P241	G4	4	4-Mar-03	8.75	lactating	34	-0.69	4-Dec-11	2011	167.33	Yes	Yes	No
P242	M4	4	1-Mar-87	10.92	other	19	-0.28	16-Feb-98	1998	117.25	Yes	Yes	No
P243	M1	1	1-Jan-83	16.08	lactating	1	1.00	26-Feb-99	1999	76.00	Yes	Yes	No
P244	M2	2	23-Jul-94	9.5	lactating	10	-0.20	27-Jan-04	2004	7.00	Yes	Yes	No
P245	D3	3	7-Nov-92	2.5	nulliparous	13	0.17	26-May-95	1995	177.25	Yes	Yes	No
P246	D3	3	7-Nov-92	8.83	lactating	12	-0.29	30-Sep-01	2001	131.00	Yes	Yes	No
P247	G2	2	20-Jul-08	6.58	lactating	NA	NA	26-Feb-15	2015	126.33	Yes	Yes	No
P248	G4	4	4-Mar-03	10	other	40	-0.65	7-Mar-13	2013	103.44	Yes	Yes	No
P249	D4	4	4-Jan-92	9.92	lactating	18	-1.00	24-Dec-01	2001	117.00	Yes	Yes	No
P25	G1	1	20-Mar-01	4.75	lactating	5	0.50	19-Jan-06	2006	37.75	Yes	Yes	No
P250	M3	3	1-Feb-85	9.67	lactating	7	0.47	4-Oct-94	1994	65.75	Yes	Yes	No
P251	D3	3	7-Nov-92	16.92	lactating	17	-0.52	15-Oct-09	2009	43.00	Yes	Yes	No
P252	G3	3	2-Mar-07	8.75	lactating	NA	NA	31-Dec-15	2015	109.75	Yes	Yes	No
P253	M2	2	23-Jul-94	14.83	lactating	12	-0.04	7-Jun-09	2009	NA	No	No	No
P254	G1	1	20-Mar-01	9.58	lactating	10	0.35	8-Nov-10	2010	461.00	Yes	Yes	No
P255	D3	3	7-Nov-92	9.25	lactating	12	-0.29	4-Mar-02	2002	156.50	Yes	Yes	No
P256	D3	3	7-Nov-92	12.58	lactating	16	-0.66	25-Jun-05	2005	3.00	Yes	Yes	No
P257	G1	1	20-Mar-01	5.5	pregnant	5	0.50	19-Oct-06	2006	23.00	Yes	Yes	No
P258	M2	2	23-Jul-94	11.5	lactating	11	-0.25	3-Feb-06	2006	47.67	Yes	Yes	No
P259	M2	2	23-Jul-94	15.17	lactating	12	-0.04	17-Oct-09	2009	43.00	Yes	Yes	No
P26	M4	4	1-Mar-87	7.83	lactating	17	-0.10	29-Jan-95	1995	494.00	Yes	Yes	No
P260	M4	4	1-Mar-87	6.92	lactating	11	0.13	4-Feb-94	1994	340.00	Yes	Yes	No
P261	G3	3	2-Mar-07	7.75	lactating	45	-0.95	9-Dec-14	2014	136.00	Yes	Yes	Yes
P262	M1	1	1-Jan-83	15.83	lactating	1	1.00	8-Nov-98	1998	282.50	Yes	Yes	No
P263	M2	2	23-Jul-94	8.5	lactating	11	-0.25	5-Feb-03	2003	0.00	Yes	Yes	No
P264	D1	1	25-Jun-96	7.25	lactating	1	1.00	23-Oct-03	2003	81.50	Yes	Yes	No
P265	D3	3	7-Nov-92	7.5	lactating	10	-0.20	17-May-00	2000	132.25	Yes	Yes	Yes
P266	D3	3	7-Nov-92	8.5	lactating	12	-0.29	26-May-01	2001	428.50	Yes	Yes	Yes
P267	D1	1	25-Jun-96	11.08	other	1	1.00	27-Jul-07	2007	112.67	Yes	Yes	No
P268	D1	1	25-Jun-96	3.42	other	2	0.93	20-Dec-99	1999	51.25	Yes	Yes	No
P269	M2	2	23-Jul-94	9.25	lactating	11	-0.25	3-Nov-03	2003	365.75	Yes	Yes	No
P27	G4	4	4-Mar-03	11.42	other	40	-0.73	4-Aug-14	2014	392.67	Yes	Yes	No
P270	G1	1	20-Mar-01	9.58	lactating	10	0.35	24-Oct-10	2010	453.38	Yes	Yes	No
P271	M4	4	1-Mar-87	6.33	lactating	9	0.20	28-Jul-93	1993	885.25	Yes	Yes	No
P272	G1	1	20-Mar-01	7.67	lactating	6	0.47	30-Nov-08	2008	82.00	Yes	Yes	No
P273	M4	4	1-Mar-87	7.75	pregnant	11	0.13	14-Dec-94	1994	161.75	Yes	Yes	No
P274	M1	1	1-Jan-83	10.08	lactating	1	1.00	9-Feb-93	1993	230.50	Yes	Yes	No
P275	G2	2	20-Jul-08	5.75	lactating	31	-0.33	18-May-14	2014	83.83	Yes	Yes	No
P276	G1	1	20-Mar-01	13	other	16	0.33	20-Mar-14	2014	105.80	Yes	Yes	Yes
P277	D4	4	4-Jan-92	8.08	lactating	15	-0.86	20-Feb-00	2000	92.75	Yes	Yes	No
P278	G4	4	4-Mar-03	7.83	lactating	34	-0.69	11-Jan-11	2011	142.56	Yes	Yes	No
P279	D4	4	4-Jan-92	12.92	lactating	16	-1.00	6-Dec-04	2004	21.50	Yes	Yes	No
P28	G4	4	4-Mar-03	10.83	lactating	40	-0.73	23-Jan-14	2014	91.67	Yes	Yes	No
P280	D2	2	28-Jun-03	3.92	lactating	10	-0.20	29-May-07	2007	245.86	Yes	Yes	No
P281	M1	1	1-Jan-83	11.25	lactating	1	1.00	2-Apr-94	1994	118.25	Yes	Yes	No
P282	M4	4	1-Mar-87	12.25	lactating	20	-0.26	10-Jun-99	1999	192.00	Yes	Yes	No
P283	G3	3	2-Mar-07	3.83	lactating	39	-0.94	26-Jan-11	2011	83.33	Yes	Yes	No
P284	G1	1	20-Mar-01	3.33	lactating	2	0.87	29-Jul-04	2004	59.25	Yes	Yes	No
P285	G1	1	20-Mar-01	4.67	pregnant	4	0.66	24-Nov-05	2005	38.50	Yes	Yes	No
P286	D2	2	28-Jun-03	8.42	lactating	29	-0.43	29-Nov-11	2011	168.25	Yes	Yes	No
P287	G2	2	20-Jul-08	6.5	lactating	NA	NA	28-Jan-15	2015	95.60	Yes	Yes	No
P288	G1	1	20-Mar-01	4.67	pregnant	4	0.66	15-Dec-05	2005	28.67	Yes	Yes	No
P289	M3	3	1-Feb-85	8.92	lactating	7	0.47	14-Jan-94	1994	67.75	Yes	Yes	No
P29	M2	2	23-Jul-94	7	other	7	0.29	20-Aug-01	2001	431.00	Yes	Yes	No
P290	M1	1	1-Jan-83	12	pregnant	1	1.00	30-Jan-95	1995	494.00	Yes	Yes	No
P291	G1	1	20-Mar-01	13.83	pregnant	NA	NA	21-Jan-15	2015	103.25	Yes	Yes	Yes
P292	D2	2	28-Jun-03	10.17	lactating	32	-0.31	28-Aug-13	2013	539.83	Yes	Yes	No
P293	M4	4	1-Mar-87	7.83	lactating	17	-0.10	26-Jan-95	1995	494.00	Yes	Yes	No
P294	G1	1	20-Mar-01	13.25	other	16	0.33	25-Jun-14	2014	514.75	Yes	Yes	Yes
