key,value,acc
size_fraction_upper_threshold_sam,1.6,ERR599141
size_fraction_lower_threshold_sam_s_dpl49,0.22,ERR599027
size_fraction_upper_threshold_sam,3,ERR599027
size_fraction_lower_threshold_sam_s_dpl49,5,ERR1726575
size_fraction_upper_threshold_sam,20,ERR1726575
size_fraction_lower_threshold_sam_s_dpl49,180,ERR1726759
size_fraction_upper_threshold_sam,2000,ERR1726759
size_fraction_lower_threshold_sam_s_dpl49,180,ERR4691784
size_fraction_upper_threshold_sam,2000,ERR4691784
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR1740325
size_fraction_upper_threshold_sam,>,ERR1740325
size_fraction_lower_threshold_sam_s_dpl49,0.22,ERR599151
size_fraction_upper_threshold_sam,3,ERR599151
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR1726719
size_fraction_upper_threshold_sam,>,ERR1726719
size_fraction_lower_threshold_sam_s_dpl49,0.22,ERR599098
size_fraction_upper_threshold_sam,1.6,ERR599098
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR4691765
size_fraction_upper_threshold_sam,>,ERR4691765
size_fraction_lower_threshold_sam_s_dpl49,20,ERR1726563
size_fraction_upper_threshold_sam,180,ERR1726563
size_fraction_lower_threshold_sam_s_dpl49,0.22,ERR598987
size_fraction_upper_threshold_sam,3,ERR598987
size_fraction_lower_threshold_sam_s_dpl49,20,ERR1726836
size_fraction_upper_threshold_sam,180,ERR1726836
size_fraction_lower_threshold_sam_s_dpl49,180,ERR4691804
size_fraction_upper_threshold_sam,2000,ERR4691804
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR868410
size_fraction_upper_threshold_sam,5,ERR868410
size_fraction_lower_threshold_sam_s_dpl49,3,ERR599278
size_fraction_upper_threshold_sam,>,ERR599278
size_fraction_lower_threshold_sam_s_dpl49,0.22,ERR599124
size_fraction_upper_threshold_sam,3,ERR599124
size_fraction_lower_threshold_sam_s_dpl49,20,ERR4691671
size_fraction_upper_threshold_sam,180,ERR4691671
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR4691673
size_fraction_upper_threshold_sam,>,ERR4691673
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR4691685
size_fraction_upper_threshold_sam,>,ERR4691685
size_fraction_sam,0.22-2.7 micrometer,ERR3256923
size_fraction_lower_threshold_sam_s_dpl49,20,ERR562472
size_fraction_upper_threshold_sam,180,ERR562472
size_fraction_lower_threshold_sam_s_dpl49,20,ERR1756045
size_fraction_upper_threshold_sam,180,ERR1756045
size_fraction_lower_threshold_sam_s_dpl49,180,ERR562628
size_fraction_upper_threshold_sam,2000,ERR562628
size_fraction_lower_threshold_sam_s_dpl49,20,ERR1756167
size_fraction_upper_threshold_sam,180,ERR1756167
size_fraction_lower_threshold_sam_s_dpl49,3,ERR1879846
size_fraction_upper_threshold_sam,>,ERR1879846
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR562653
size_fraction_upper_threshold_sam,>,ERR562653
size_fraction_lower_threshold_sam_s_dpl49,5,ERR1879695
size_fraction_upper_threshold_sam,20,ERR1879695
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR1879910
size_fraction_upper_threshold_sam,>,ERR1879910
size_fraction_lower_threshold_sam_s_dpl49,180,ERR1756309
size_fraction_upper_threshold_sam,2000,ERR1756309
size_fraction_lower_threshold_sam_s_dpl49,0.22,ERR6090717
size_fraction_upper_threshold_sam,3,ERR6090717
size_fraction_lower_threshold_sam_s_dpl49,180,ERR3518730
size_fraction_upper_threshold_sam,2000,ERR3518730
size_fraction_lower_threshold_sam_s_dpl49,20,ERR3518724
size_fraction_upper_threshold_sam,180,ERR3518724
size_fraction_lower_threshold_sam_s_dpl49,0.8,ERR4223610
size_fraction_upper_threshold_sam,>,ERR4223610
size_fraction_lower_threshold_sam_s_dpl49,3,ERR3518706
size_fraction_upper_threshold_sam,20,ERR3518706
size_fraction_lower_threshold_sam_s_dpl49,5,ERR599208
size_fraction_upper_threshold_sam,20,ERR599208
size_frac_sam,> 0.7 um,SRR12347140
size_frac_sam,NA,SRR14874085
size_fraction_lower_threshold_sam_s_dpl49,0.22,ERR3994153
size_fraction_upper_threshold_sam,2.7,ERR3994153
size_fraction_sam,1.6-0.2um,SRR8075964
size_fraction_sam,1.6-0.2um,SRR8075972
size_fraction_lower_threshold_sam_s_dpl49,0.22,ERR598945
size_fraction_upper_threshold_sam,3,ERR598945
