Genome	KRGM_100_5gb_M Relative Abundance (%)	KRGM_91_5gb_M Relative Abundance (%)	KRGM_92_5gb_M Relative Abundance (%)	KRGM_93_5gb_M Relative Abundance (%)	KRGM_94_5gb_M Relative Abundance (%)	KRGM_95_5gb_M Relative Abundance (%)	KRGM_96_5gb_M Relative Abundance (%)	KRGM_97_5gb_M Relative Abundance (%)	KRGM_98_5gb_M Relative Abundance (%)	KRGM_99_5gb_M Relative Abundance (%)
5_gb_bin.66	0.007783663	0.04902332	0.25195307	0.34253776	0.2782132	0.027387522	0.1339161	0.17568956	0.014475723	0.030398175
5_gb_bin.67	0.038164806	1.4373883	1.1239948	0.006425464	0.47615835	1.1769079	0.83002585	0.043486226	0.018515104	0.020914862
5_gb_bin.68	0.0031270743	0.01301935	0.004856776	0.0025023264	0.0012217434	0.0019187727	0.0023511713	0.007924732	0.06298334	0.63016135
5_gb_bin.69	0.003274798	1.372399	0.26285556	0.0010911309	1.8684539	0.0014781441	0.0011069697	0.43140683	0.19130564	0.04443837
5_gb_bin.6	1.7715114	0.28423193	0.2219671	1.8220867	0.22276844	0.33566672	1.0809008	0.8844251	1.236307	0.99814254
5_gb_bin.70	0.08078534	0.6535336	0.008006952	0.005864674	0.0060255476	0.006340307	0.008786077	0.12383059	0.02644979	0.0057945196
5_gb_bin.71	0.00075628137	0.18044719	0.0014207899	0.0025178872	0.04212148	0.0026928673	0.00065595086	0.10304933	0.08715231	0.24167977
5_gb_bin.72	0.06622806	0.2298883	0.00092278695	0.05672676	0.021738099	0.022257892	0.16950591	0.040942606	0.14902394	0.12473136
5_gb_bin.73	2.3232293	1.8145972	0.0015316107	0.0009105001	0.0013397698	0.0039981157	0.0006617321	0.077211544	0.0034503401	0.0018119483
5_gb_bin.74	0.058885798	0.002013553	0.12448989	0.00062585465	0.000641468	0.00051588414	0.0015138082	0.15691926	0.00047636588	0.012282435
5_gb_bin.75	0.026862793	0.07592119	0.25444305	0.041250173	0.04958253	0.04543405	0.68917084	0.07913485	0.026029173	0.012566056
5_gb_bin.76	0.07297756	0.005857237	0.0062077483	0.016111312	0.00452434	0.5349672	0.03193692	0.023962488	0.09874338	0.0121565275
