run,Latitude,Longitude,ABS_latit,log2sum_RPKM,SMN30cm_1,haiba,totP,cec_0.30_mean,nitrogen_0.30_mean,phh2o_0.30_mean,annual_solar_radiation,annual_average_temp,geo_continent,geo_loc_me5,geo_loc_me,RPKM_16S,log2_RPKM_16S,sum-RPKM,CN30cm_1,SMC30cm_1,annual_average_prec,labP,orgP,soc_0.30_mean
SRR10360603,39.7393,-123.6309,39.7393,10.96134116,17.73430061,572,370.8750305,222.1352132,494.5514476,5.775642522,187430,11.42000024,North America,North America,USA:California,1100.52,10.10396965,1993.85,5.212356567,92.4375,1613,25.62075424,97.24111176,704.665685
SRR10360604,39.7393,-123.6309,39.7393,10.55449292,17.73430061,572,370.8750305,222.1352132,494.5514476,5.775642522,187430,11.42000024,North America,North America,USA:California,788.644,9.623230393,1503.9,5.212356567,92.4375,1613,25.62075424,97.24111176,704.665685
SRR10360605,39.7393,-123.6309,39.7393,11.37160787,17.73430061,572,370.8750305,222.1352132,494.5514476,5.775642522,187430,11.42000024,North America,North America,USA:California,1245.49,10.28249772,2649.69,5.212356567,92.4375,1613,25.62075424,97.24111176,704.665685
SRR10360606,39.5673,-123.4758,39.5673,10.58453038,22.22369957,730,532.3766479,216.2688649,273.9069722,5.8,189260,11.64800008,North America,North America,USA:California,681.206,9.411947332,1535.54,6.369416714,141.552002,1487,27.95848846,99.73036957,422.0444336
SRR10360607,39.5673,-123.4758,39.5673,10.45572791,22.22369957,730,532.3766479,216.2688649,273.9069722,5.8,189260,11.64800008,North America,North America,USA:California,706.04,9.46360611,1404.39,6.369416714,141.552002,1487,27.95848846,99.73036957,422.0444336
SRR10360608,39.5673,-123.4758,39.5673,10.47806175,22.22369957,730,532.3766479,216.2688649,273.9069722,5.8,189260,11.64800008,North America,North America,USA:California,805.118,9.653056433,1426.3,6.369416714,141.552002,1487,27.95848846,99.73036957,422.0444336
SRR10360609,39.5673,-123.4758,39.5673,10.7638182,22.22369957,730,532.3766479,216.2688649,273.9069722,5.8,189260,11.64800008,North America,North America,USA:California,1021.58,9.996586471,1738.73,6.369416714,141.552002,1487,27.95848846,99.73036957,422.0444336
SRR10360610,39.5673,-123.4758,39.5673,10.70507939,22.22369957,730,532.3766479,216.2688649,273.9069722,5.8,189260,11.64800008,North America,North America,USA:California,898.035,9.810627863,1669.36,6.369416714,141.552002,1487,27.95848846,99.73036957,422.0444336
SRR10360611,39.5673,-123.4758,39.5673,10.78195798,22.22369957,730,532.3766479,216.2688649,273.9069722,5.8,189260,11.64800008,North America,North America,USA:California,851.479,9.733827139,1760.73,6.369416714,141.552002,1487,27.95848846,99.73036957,422.0444336
SRR10360612,39.5673,-123.4758,39.5673,10.35373129,22.22369957,730,532.3766479,216.2688649,273.9069722,5.8,189260,11.64800008,North America,North America,USA:California,694.812,9.440478861,1308.53,6.369416714,141.552002,1487,27.95848846,99.73036957,422.0444336
