0Run,Latitude,Longitude,ABS_latit,log2sum_RPKM,salinity,phosphate,density,nitrate,Depth,oxygen_sensor,temperature,O2sat,conductivity,AOU,silicate,Present.Surface.Calcite.Mean.BOv2_2,Present.Surface.Chlorophyll.Mean,Present.Surface.Iron.Mean,Present.Surface.Par.Mean.BOv2_2,Present.Surface.pH.BOv2_2,Present.Surface.Phytoplankton.Mean,Present.Surface.Primary.productivity.Mean,geo_loc_name4,geo_loc_name5,log2_RPKM_16S,sum-RPKM
ERR599169,-13.0023,-95.9759,13.0023,9.820593837,35.835267,0.640001059,24.51173592,3.929646254,5,200.233917,25.2512,100.1901779,5.206169605,-0.287509233,2.400048018,0.000124,0.198751,1.80E-05,45.42200089,8.217000008,1.528546,0.007474,Pacific,Pacific,9.881049703,904.26
ERR599170,35.9346,-37.3032,35.9346,10.26957088,36.3123,0.050942201,25.6260891,0.088193119,5,228.375583,17.583075,104.3728867,5.094742298,-7.60517931,1.355581164,0.000104,0.091984,0.000147,37.20899963,8.237999916,0.767553,0.001714,Atlantic,Atlantic,9.909146048,1234.38
ERR599171,-31.0266,4.665,31.0266,11.88954199,35.68685,0.249812171,25.57322693,0.095560275,5,231.914833,16.832058,102.660408,4.794332504,-4.728702545,3.16288352,8.60E-05,0.169226,1.10E-05,39.66600037,8.194999695,1.406417,0.003776,Atlantic,Atlantic,10.6596927,3794.1
ERR599173,-34.9449,17.9189,34.9449,11.01792887,35.323317,0.571649015,25.7140255,3.561252594,5,238.916333,15.033492,103.3708725,4.62254858,-6.762554169,6.09271574,0.000166,0.326391,6.90E-05,39.04800034,8.229000092,1.715573,0.011032,Atlantic,Atlantic,9.937098645,2073.61
ERR599174,-31.0266,4.665,31.0266,11.72933608,35.68685,0.249812171,25.57322693,0.095560275,5,231.914833,16.832058,102.660408,4.794332504,-4.728702545,3.16288352,8.60E-05,0.169226,1.10E-05,39.66600037,8.194999695,1.406417,0.003776,Atlantic,Atlantic,10.45110806,3395.33
ERR599176,-62.0385,-49.529,62.0385,10.99526544,34.35388,1.835986257,27.51561165,26.4362011,5,343.4373,0.67108,91.23275757,2.736300707,32.09385681,76.76880646,0.00012,0.347563,0.000125,24.79999924,8.173000336,1.420552,0.002135,Atlantic,Southern Ocean,10.32087951,2041.29
ERR599233,-34.8901,18.0459,34.8901,10.42748047,35.3315,0.766524136,26.03157997,6.752334118,30,240.4135,15.01895,97.38095856,4.495052338,7.861424923,7.34843111,0.000154,0.346941,7.50E-05,39.16199875,8.229000092,1.791193,0.011911,Atlantic,Atlantic,10.00483843,1377.16
ERR599234,-47.1899,-58.2724,47.1899,6.714520291,34.048642,1.059338927,26.50329781,12.27544117,5,305.012167,7.321517,102.7886429,3.498677492,-3.598343611,4.475419521,0.000303,0.363108,7.20E-05,33.03300095,8.178999901,1.859469,0.005705,Atlantic,Atlantic,7.922001558,105.02
ERR599235,-34.8901,18.0459,34.8901,10.49131198,35.3315,0.766524136,26.03157997,6.752334118,30,240.4135,15.01895,97.38095856,4.495052338,7.861424923,7.34843111,0.000154,0.346941,7.50E-05,39.16199875,8.229000092,1.791193,0.011911,Atlantic,Atlantic,10.02258975,1439.46
ERR599236,-31.027,4.6802,31.027,10.27386552,35.687803,0.29182446,25.92914772,1.081071377,50,231.683361,16.787411,102.5444641,4.718571663,-4.381342411,3.214157104,8.50E-05,0.169244,1.10E-05,39.61000061,8.194000244,1.405691,0.003773,Atlantic,Atlantic,9.044547124,1238.06
ERR599237,-30.1367,-43.2899,30.1367,10.28348197,36.32425,0.108002923,25.2988739,0.672475994,5,221.47475,19.854083,102.3817673,5.137922764,-3.238244772,2.189721823,5.60E-05,0.103963,3.50E-05,37.40299988,8.116999626,0.85334,0.001964,Atlantic,Atlantic,9.598875067,1246.34
ERR599238,-32.2401,17.7103,32.2401,9.546373607,34.845292,0.683270276,25.93052483,3.615843534,5,249.351417,12.83445,105.1930237,4.425693989,-6.344338894,5.70543623,0.000615,1.500937,0.00031,42.68999863,8.220999718,7.609344,0.05255,Atlantic,Atlantic,9.658409661,747.73
ERR599239,-62.2231,-49.2139,62.2231,9.073311474,34.319478,2.013636112,28.09433556,29.87424469,90,325.402987,-0.78154,82.71087646,2.743003607,62.89405441,77.0967865,0.000157,0.345517,0.000124,24.42099953,8.175000191,1.410953,0.00213,Atlantic,Southern Ocean,8.511926557,538.69
ERR599241,-20.4107,-3.1775,20.4107,9.171827303,36.374733,0.238641128,25.28174019,0.208056048,5,215.848333,19.858933,101.0930557,5.128956318,-2.515437841,1.170029044,8.10E-05,0.094734,0.000397,41.92900085,8.197999954,0.771628,0.001761,Atlantic,Atlantic,8.779371359,576.76
ERR599242,-34.8901,18.0459,34.8901,10.40725714,35.3315,0.766524136,26.03157997,6.752334118,30,240.4135,15.01895,97.38095856,4.495052338,7.861424923,7.34843111,0.000154,0.346941,7.50E-05,39.16199875,8.229000092,1.791193,0.011911,Atlantic,Atlantic,9.991039922,1357.99
