sample	coverage	taxonomy
Novel_genomes_no_reference_R1	3.01	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Sphingomonadales; f__Emcibacteraceae; g__Pseudemcibacter; s__Pseudemcibacter aquimaris
Novel_genomes_no_reference_R1	2.84	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Aquisediminimonas; s__Aquisediminimonas profunda
Novel_genomes_no_reference_R1	2.18	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rickettsiales_A; f__G021065005; g__Gromoviella; s__Gromoviella agglomerans
Novel_genomes_no_reference_R1	3.07	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rickettsiales; f__Midichloriaceae; g__Bandiella; s__Bandiella numerosa
Novel_genomes_no_reference_R1	2.61	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rickettsiales; f__Midichloriaceae; g__Anadelfobacter; s__Anadelfobacter sociabilis
Novel_genomes_no_reference_R1	1.08	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rickettsiales; f__Midichloriaceae; g__Cyrtobacter; s__Cyrtobacter zanobii
Novel_genomes_no_reference_R1	2.44	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rickettsiales; f__Anaplasmataceae; g__AB001-6; s__AB001-6 sp020002265
Novel_genomes_no_reference_R1	2.1	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Reyranellales; f__Reyranellaceae; g__JAFAZJ01; s__JAFAZJ01 sp022844045
Novel_genomes_no_reference_R1	2.61	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Holosporales; f__Holosporaceae; g__Hydrogenosomobacter; s__Hydrogenosomobacter endosymbioticus
Novel_genomes_no_reference_R1	2.67	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhodospirillales_A; f__Casp-alpha2; g__UBA4479; s__UBA4479 sp021555105
Novel_genomes_no_reference_R1	3.07	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Caulobacterales; f__Maricaulaceae; g__Oceanicaulis; s__Oceanicaulis sp024178355
Novel_genomes_no_reference_R1	2.73	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales; f__Endozoicomonadaceae; g__Sansalvadorimonas; s__Sansalvadorimonas verongulae
Novel_genomes_no_reference_R1	3.18	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales; f__Cellvibrionaceae; g__Marinibactrum; s__Marinibactrum halimedae
Novel_genomes_no_reference_R1	2.44	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales; f__Cellvibrionaceae; g__Sessilibacter; s__Sessilibacter corallicola
Novel_genomes_no_reference_R1	2.9	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales; f__Oleiphilaceae; g__Alkalimarinus; s__Alkalimarinus sediminis
Novel_genomes_no_reference_R1	3.3	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales; f__Halomonadaceae; g__Larsenimonas; s__Larsenimonas salina
Novel_genomes_no_reference_R1	3.01	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Methylophilaceae; g__Methyloradius; s__Methyloradius palustris
Novel_genomes_no_reference_R1	2.61	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__UBA9220; g__JAIOJO01; s__JAIOJO01 sp019911985
Novel_genomes_no_reference_R1	2.71	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Rhodocyclaceae; g__Azonexus; s__Azonexus limneticum_B
Novel_genomes_no_reference_R1	2.47	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Rhodocyclaceae; g__Azonexus; s__Azonexus australiensis_A
Novel_genomes_no_reference_R1	2.44	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Rhodocyclaceae; g__Georgfuchsia; s__Georgfuchsia toluolica
Novel_genomes_no_reference_R1	2.79	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Mycetohabitans; s__Mycetohabitans cooleyia
